Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
5013097,1,1,12,130 gram,"Corn-Waffles with linseed, Lima Biologisch BE",1.00,1.89,12.00,Order_4191827.pdf
5013312,1,1,6,300 gram,"Wild-field-flower-honey, Mielbio Biologisch IT",3.75,6.59,22.50,Order_4191827.pdf
5013424,1,1,8,15 gram,"Maispuffs 6+ months, Biobim Biologisch NL",0.38,0.99,3.04,Order_4191827.pdf
5014138,1,1,12,133 gram,"Chocolatecookie ginger, Island BBaikoelorgyisch GB",3.04,5.39,36.48,Order_4191827.pdf
5014501,1,1,6,90 gram,"Green-Tea jasmine loose, SimonB Lioélovgeisltch NL",3.11,5.59,18.66,Order_4191827.pdf
5014503,1,1,6,90 gram,"Black-tea ceylon loose, Simon LéBvioellotgisch NL",3.11,5.59,18.66,Order_4191827.pdf
5014689,1,1,10,125 gram,"Hand-cooked-chips salt-vinegar, BTiroalofogisch NL",1.40,2.49,14.00,Order_4191827.pdf
5014700,1,1,6,75 gram,"Instant-noodlessoup tom yum, OBNiOoloFgFisch NL",1.70,2.99,10.20,Order_4191827.pdf
5014804,1,1,5,190 gram,"Zontomatoes in oil, Bio OrganicaB Iitoa-lDiaynamisch IT",2.36,4.19,11.80,Order_4191827.pdf
5015172,1,1,12,1 litre,"Mineral-water, Icelandic Glacial Niet-agrarisch IS 313",1.44,2.59,17.28,Order_4191827.pdf
5015225,1,1,4,430 gram,"Bread'n-Toast dark gluten-free, SBciohlnoigtzisecrh NL",3.23,5.89,12.92,Order_4191827.pdf
5015268,1,1,6,350 gram,"Curry-sauce Indian korma, TerraSBiaonloagisch NL",2.44,4.29,14.64,Order_4191827.pdf
5015356,1,1,8,250 gram,"Coffee-beans soulmate, Bocca Biologisch NL",7.15,11.99,57.20,Order_4191827.pdf
5015427,1,1,18,40 gram,"Chocolate-bar creamy milk, VivanBiiologisch DE",0.90,1.59,16.20,Order_4191827.pdf
5015564,3,3,1,300 gram,"Collagen beef, grass-fed, MattissNoinet-biologisch NL",13.14,23.95,39.42,Order_4191827.pdf
5016160,1,1,12,125 gram,"Cookie double choc-chip gluten fBreioelo, gSiswcehet FA GB",2.68,4.79,32.16,Order_4191827.pdf
